Zip,LessThan10K,MoreThan10K,MoreThan25K,MoreThan50K 
90001,0.2,0.5,0.26,0.05
90002,0.22,0.48,0.25,0.05
90003,0.23,0.48,0.24,0.04
90004,0.2,0.4,0.25,0.16
90005,0.22,0.45,0.23,0.1
90006,0.24,0.51,0.21,0.04
90007,0.28,0.45,0.21,0.06
90008,0.17,0.3,0.3,0.23
90009,0.1,0.23,0.37,0.31
90010,0.16,0.21,0.21,0.41
90011,0.23,0.52,0.22,0.03
90012,0.26,0.38,0.2,0.16
90013,0.3,0.37,0.17,0.15
90014,0.26,0.43,0.19,0.12
90015,0.24,0.49,0.21,0.07
90016,0.18,0.37,0.31,0.14
90017,0.26,0.47,0.16,0.11
90018,0.21,0.42,0.28,0.1
90019,0.18,0.36,0.29,0.17
90020-0001,0.21,0.41,0.27,0.11
90021,0.26,0.41,0.18,0.15
90022,0.19,0.43,0.3,0.08
90023,0.2,0.47,0.28,0.06
90024,0.16,0.15,0.2,0.48
90025,0.11,0.19,0.29,0.41
90026,0.2,0.39,0.27,0.15
90027,0.18,0.29,0.28,0.24
90028,0.22,0.4,0.28,0.1
90029,0.23,0.44,0.25,0.08
90030,0.12,0.38,0.38,0.12
90031,0.23,0.41,0.26,0.09
90032,0.19,0.36,0.31,0.14
90033,0.23,0.47,0.24,0.05
90034,0.15,0.28,0.32,0.25
90035,0.13,0.19,0.28,0.4
90036,0.12,0.19,0.3,0.39
90037,0.24,0.48,0.23,0.04
90038,0.21,0.43,0.26,0.09
90039,0.13,0.28,0.3,0.29
90040,0.17,0.37,0.32,0.14
90041,0.15,0.25,0.29,0.31
90042,0.17,0.34,0.3,0.18
90043,0.17,0.3,0.31,0.22
90044,0.23,0.45,0.25,0.07
90045,0.12,0.18,0.26,0.44
90046,0.14,0.24,0.31,0.31
90047,0.17,0.33,0.33,0.17
90048,0.12,0.19,0.29,0.41
90049,0.11,0.12,0.2,0.57
90050,0.17,0.38,0.28,0.17
90051,0.15,0.32,0.39,0.15
90053,0.05,0.08,0.36,0.51
90054,0.1,0.36,0.38,0.17
90055,0.26,0.41,0.25,0.08
90056,0.11,0.16,0.26,0.47
90057,0.24,0.48,0.22,0.05
90058,0.24,0.43,0.21,0.12
90059,0.23,0.44,0.26,0.07
90060,0.16,0.37,0.34,0.13
90061,0.19,0.45,0.28,0.08
90062,0.21,0.41,0.29,0.09
90063,0.2,0.45,0.28,0.07
90064,0.13,0.16,0.23,0.48
90065,0.17,0.32,0.28,0.23
90066,0.12,0.24,0.29,0.35
90067,0.1,0.07,0.12,0.71
90068,0.13,0.19,0.25,0.44
90069,0.1,0.16,0.28,0.45
90070,0.22,0.33,0.32,0.14
90071,0.06,0.08,0.2,0.66
90073,0.18,0.17,0.4,0.25
90075,0.11,0.4,0.36,0.13
90076,0.16,0.37,0.36,0.11
90077,0.12,0.11,0.12,0.65
90078,0.24,0.3,0.29,0.17
90081,0.19,0.34,0.28,0.19
90083,0.15,0.2,0.35,0.3
90086,0.14,0.32,0.31,0.24
90089,0.3,0.34,0.19,0.16
90093,0.24,0.28,0.32,0.17
90201,0.18,0.46,0.29,0.07
90202,0.15,0.38,0.39,0.08
90209,0.15,0.22,0.27,0.36
90210,0.15,0.12,0.15,0.59
90211,0.16,0.15,0.23,0.46
90212,0.14,0.13,0.18,0.54
90213,0.17,0.23,0.26,0.34
90220,0.19,0.38,0.31,0.13
90221,0.2,0.44,0.28,0.09
90222,0.2,0.43,0.29,0.08
90223,0.18,0.48,0.25,0.08
90224,0.16,0.35,0.32,0.16
90230,0.13,0.19,0.27,0.4
90231,0.1,0.2,0.37,0.33
90232,0.14,0.22,0.29,0.35
90239,0.13,0.24,0.39,0.24
90240,0.15,0.25,0.28,0.33
90241,0.15,0.28,0.31,0.27
90242,0.14,0.29,0.32,0.25
90245,0.09,0.14,0.28,0.49
90247,0.15,0.34,0.32,0.19
90248,0.14,0.27,0.29,0.29
90249,0.15,0.29,0.3,0.27
90250,0.15,0.35,0.32,0.18
90251,0.1,0.31,0.38,0.21
90254,0.07,0.11,0.25,0.57
90255,0.19,0.46,0.27,0.07
90260,0.15,0.33,0.32,0.2
90262,0.17,0.43,0.3,0.1
90263,0.63,0.17,0.11,0.09
90264,0.11,0.24,0.3,0.35
90265,0.15,0.13,0.17,0.55
90266,0.1,0.09,0.16,0.65
90267,0.08,0.12,0.27,0.52
90270,0.18,0.45,0.3,0.07
90272,0.13,0.09,0.12,0.66
90274,0.14,0.09,0.11,0.66
90275,0.13,0.1,0.13,0.63
90277,0.09,0.13,0.24,0.53
90278,0.1,0.15,0.24,0.51
90280,0.17,0.4,0.31,0.12
90290,0.14,0.14,0.17,0.55
90291,0.14,0.24,0.28,0.34
90292,0.08,0.12,0.21,0.58
90293,0.08,0.12,0.27,0.53
90294,0.17,0.26,0.33,0.23
90295,0.13,0.21,0.29,0.37
90301,0.16,0.4,0.33,0.11
90302,0.16,0.33,0.35,0.16
90303,0.17,0.4,0.3,0.14
90304,0.18,0.48,0.28,0.07
90305,0.12,0.23,0.31,0.33
90306,0.12,0.32,0.39,0.17
90307,0.16,0.25,0.43,0.15
90308,0.15,0.34,0.35,0.16
90309,0.14,0.25,0.35,0.27
90310,0.28,0.31,0.3,0.11
90401,0.13,0.2,0.27,0.4
90402,0.13,0.1,0.14,0.63
90403,0.1,0.14,0.25,0.52
90404,0.14,0.24,0.31,0.31
90405,0.11,0.17,0.26,0.46
90406,0.17,0.2,0.3,0.33
90408,0.24,0.18,0.29,0.3
90409,0.12,0.24,0.29,0.35
90501,0.15,0.26,0.29,0.3
90502,0.13,0.24,0.29,0.33
90503,0.12,0.15,0.24,0.48
90504,0.14,0.19,0.26,0.4
90505,0.13,0.14,0.22,0.5
90508,0.13,0.25,0.34,0.28
90510,0.12,0.23,0.3,0.35
90601,0.13,0.23,0.3,0.34
